fecha,id_cc,cumincumout,duracionh,salidas
2024-01-23 18:00:00,2,1076.7833333333333,28.77988531452197,37
2024-01-23 19:00:00,2,1108.6333333333334,31.684552067809292,35
2024-01-23 20:00:00,2,548.9,38.44641124298862,24
2024-01-23 21:00:00,2,0,1.7272727272727273,11
2024-02-23 10:00:00,2,304.9166666666667,8.365588889871534,27
2024-02-23 11:00:00,2,779.9666666666667,18.73753606837198,37
2024-02-23 12:00:00,2,904.05,21.69540249731375,43
2024-02-23 13:00:00,2,981.4666666666667,23.982272611791345,40
2024-02-23 14:00:00,2,1195.25,27.3629519594826,40
2024-02-23 15:00:00,2,1526.4333333333334,31.041284635790422,44
2024-02-23 16:00:00,2,1763.8333333333333,35.64252685977227,48
2024-02-23 17:00:00,2,1882.7666666666667,38.17099873527089,47
2024-02-23 18:00:00,2,2032.3166666666666,41.50492117241985,46
2024-02-23 19:00:00,2,2049.383333333333,44.918329212425974,49
2024-02-23 20:00:00,2,1247.5166666666667,42.907988691717115,45
2024-02-23 21:00:00,2,306,24.5,28
2024-03-23 10:00:00,2,547.7333333333333,9.10245941291021,41
2024-03-23 11:00:00,2,1621.55,22.08542700788062,57
2024-03-23 12:00:00,2,2167.883333333333,31.81536736608507,61
2024-03-23 13:00:00,2,2536.633333333333,40.313493218340106,60
2024-03-23 14:00:00,2,2826.25,44.29528138354031,55
2024-03-23 15:00:00,2,3126.25,51.273566049657646,56
2024-03-23 16:00:00,2,3265.9166666666665,55.67968758512264,56
2024-03-23 17:00:00,2,3414.266666666667,60.729556795191705,53
2024-03-23 18:00:00,2,3540.45,65.18572515996284,51
2024-03-23 19:00:00,2,3280.016666666667,71.19750167762916,53
2024-03-23 20:00:00,2,2240.116666666667,70.27566476533681,46
2024-03-23 21:00:00,2,1281,67.15217391304348,46
2024-01-24 10:00:00,2,278.1,8.670312819528398,23
2024-01-24 11:00:00,2,591.7,17.15185021901151,34
2024-01-24 12:00:00,2,726.2166666666667,20.085727103605915,33
2024-01-24 13:00:00,2,865.3166666666667,24.187064831620667,36
2024-01-24 14:00:00,2,821.7833333333333,25.20063030732059,33
2024-01-24 15:00:00,2,930.8333333333334,26.250435595992688,33
2024-01-24 16:00:00,2,1043.8833333333334,27.056030373059414,38
2024-01-24 17:00:00,2,1138.3666666666666,29.22661549654525,39
2024-01-24 18:00:00,2,1192.3666666666666,31.58351778166593,37
2024-01-24 19:00:00,2,1156.3833333333334,33.87397527506841,34
2024-01-24 20:00:00,2,645.2666666666667,38.76336514438437,28
2024-01-24 21:00:00,2,0,3.6,30
2024-02-24 10:00:00,2,453.68333333333334,9.196211227862271,35
2024-02-24 11:00:00,2,1175.2833333333333,18.03636632105621,55
2024-02-24 12:00:00,2,1698.6333333333334,25.131946775480053,61
2024-02-24 13:00:00,2,1936.85,31.032165573358515,59
2024-02-24 14:00:00,2,2097.866666666667,34.76170190749575,59
2024-02-24 15:00:00,2,2416.5,37.04877753961419,62
2024-02-24 16:00:00,2,2569.1833333333334,39.12406513481319,61
2024-02-24 17:00:00,2,2591.4333333333334,43.1808228723744,59
2024-02-24 18:00:00,2,2379.4333333333334,45.52693093696494,54
2024-02-24 19:00:00,2,2102.616666666667,47.74006342955743,51
2024-02-24 20:00:00,2,1027.3666666666666,41.78945477326052,44
2024-02-24 21:00:00,2,105,16.666666666666668,18
2024-03-24 10:00:00,2,584.55,13.529030107640462,24
2024-03-24 11:00:00,2,1799.3,29.241156257673847,45
2024-03-24 12:00:00,2,2772.9333333333334,39.66848952671571,54
2024-03-24 13:00:00,2,3333.5666666666666,51.00114479787759,57
2024-03-24 14:00:00,2,3735.6,57.232174096426874,62
2024-03-24 15:00:00,2,3845.866666666667,61.93536234423741,56
2024-03-24 16:00:00,2,3735.766666666667,72.15817297268542,53
2024-03-24 17:00:00,2,3662.516666666667,69.47938451543101,54
2024-03-24 18:00:00,2,3466.733333333333,70.64067354920013,52
2024-03-24 19:00:00,2,2831.45,74.83897921973339,49
2024-03-24 20:00:00,2,1427.1333333333334,81.6877120168505,17
2024-03-24 21:00:00,2,1193,102,3
2024-01-25 10:00:00,2,291.05,8.825013869895907,25
2024-01-25 11:00:00,2,676.4333333333333,19.121928491639903,32
2024-01-25 12:00:00,2,761.6,22.188125160464683,34
2024-01-25 13:00:00,2,859.1666666666666,25.233016050087535,33
2024-01-25 14:00:00,2,999.6166666666667,28.496266882138226,34
2024-01-25 15:00:00,2,1173.0833333333333,30.269894452443886,35
2024-01-25 16:00:00,2,1437.5,34.67356555957671,38
2024-01-25 17:00:00,2,1486.8833333333334,38.93425530071275,38
